dataset	class_dir	ecotaxa_taxon_id
tara_pacific_manta	polystyrene	92077
tara_pacific_manta	gonophore<Bassia bassensis	92108
tara_pacific_manta	nectophore<Bassia bassensis	92109
tara_pacific_manta	trunk<Appendicularia	92112
tara_pacific_manta	Pterotrachea	92124
tara_pacific_manta	Atlanta	92139
tara_pacific_manta	bract<Diphyidae	92230
tara_pacific_manta	bract<Abylopsis tetragona	92231
tara_pacific_manta	part<Thaliacea	92235
tara_pacific_manta	nucleus<Salpidae	92236
tara_pacific_manta	larvae<Porcellanidae	92238
tara_pacific_manta	zoea<Brachyura<Pleocyemata<Decapoda	92239
tara_pacific_manta	polype<Leptothecata	92774
tara_pacific_manta	polype<Anthozoa	92775
tara_pacific_manta	Miraciidae	92860
tara_pacific_manta	bract<Bassia bassensis	92873
tara_pacific_manta	nectophore<Eudoxoides spiralis	92945
tara_pacific_manta	eudoxid<Eudoxoides spiralis	92946
tara_pacific_manta	gonophore<Eudoxoides spiralis	92947
tara_pacific_manta	Lubbockia	93061
tara_pacific_manta	damaged<Copepoda	94133
