Dataset,Raw_Labels,Kingdom,Phylum,Class,Order,Family,Genus,Species,proposed_label,plankton,living,root_class,qualifier,wikidata_ID,aphia_ID,NCBI_ID,BOLD_ID,ecotaxa_ID
planktonset1.0,hydromedusae_partial_dark,animalia,cnidaria,hydrozoa,,,,,hydrozoa,False,False,detritus,part,Q181989,1337.0,6074.0,26.0,628;652
planktonset1.0,invertebrate_larvae_other_A,,,,,,,,invertebrate_larvae,False,True,living,larvae,,,,,
planktonset1.0,invertebrate_larvae_other_B,,,,,,,,invertebrate_larvae,False,True,living,larvae,,,,,
zoocamnet,Isias,animalia,arthropoda,copepoda,calanoida,centropagidae,isias,,isias,True,True,living,full_body,Q18091913,104160.0,1345090.0,607188.0,46;761
planktoscope,Isthmia,chromista,heterokontophyta,bacillariophyceae,biddulphiales,biddulphiaceae,isthmia,,isthmia,True,True,living,full_body,Q25366249,163257.0,1003063.0,603786.0,711
medplanktonset,Kapelodinium_vestifici,chromista,myzozoa,dinophyceae,torodiniales,kapelodiniaceae,kapelodinium,vestifici,kapelodinium vestifici,True,True,living,full_body,Q25364681,1368615.0,1890389.0,317011.0,240
medplanktonset,Karenia_spp,chromista,myzozoa,dinophyceae,gymnodiniales,kareniaceae,karenia,,karenia,True,True,living,full_body,Q6370165,231788.0,1052865.0,317067.0,240
whoi,Karenia,chromista,myzozoa,dinophyceae,gymnodiniales,kareniaceae,karenia,,karenia,True,True,living,full_body,Q6370165,231788.0,1052865.0,317067.0,240
medplanktonset,Karenia_papilionacea,chromista,myzozoa,dinophyceae,gymnodiniales,kareniaceae,karenia,papilionacea,karenia papilionacea,True,True,living,full_body,Q20164392,246593.0,262427.0,317212.0,240
syke_ifcb_2022,Katablepharis_remigera,chromista,cryptophyta,cryptophyta,kathablepharidacea,katablepharidaceae,katablepharis,remigera,katablepharis remigera,True,True,living,full_body,Q23056005,627117.0,324623.0,99173.0,
flowcamnet,Katagnymene spiralis,bacteria,cyanobacteria,cyanophyceae,gomontiellales,gomontiellaceae,katagnymene,spiralis,katagnymene spiralis,True,True,living,full_body,Q67358498,618883.0,164816.0,391327.0,697
zoolake,kellicottia,animalia,rotifera,eurotatoria,ploima,brachionidae,kellicottia,,kellicottia,True,True,living,full_body,Q1738282,134940.0,1213226.0,284195.0,
zoolake,keratella_cochlearis,animalia,rotifera,eurotatoria,ploima,brachionidae,keratella,cochlearis,keratella cochlearis,True,True,living,full_body,Q150192,134990.0,204738.0,31550.0,
zoolake,keratella_quadrata,animalia,rotifera,eurotatoria,ploima,brachionidae,keratella,quadrata,keratella quadrata,True,True,living,full_body,Q2683607,134992.0,204742.0,31552.0,
